State,ageAdjustedRate,caseCount,Pop
Kentucky,509.7,27137,4484047
Delaware,487.2,6001,975033
Pennsylvania,482.5,80089,12813969
New Hampshire,480.9,8442,1363852
New Jersey,474.8,51521,8922547
New York,474.8,113026,19491339
Iowa,473.6,18146,3167997
Maine,473.4,8901,1342097
Louisiana,473.1,25451,4652581
West Virginia,472,11698,1791951
Arkansas,469.6,17053,3026412
Georgia,468.8,52056,10627767
Mississippi,465.8,16265,2987895
Connecticut,465.5,21117,3567871
Illinois,462.8,68954,12700381
Wisconsin,458.6,32688,5832661
North Carolina,458.4,55394,10497741
Alabama,457.8,27195,4898246
Kansas,457.3,15312,2910931
Montana,456.6,6194,1074532
Ohio,456.1,65645,11718568
Minnesota,455.7,29619,5655925
Tennessee,455.7,36598,6833793
Rhode Island,450.6,5972,1056738
South Dakota,449.5,4612,892631
North Dakota,448.7,3765,760900
Oklahoma,447.9,20167,3948950
Nebraska,446.4,9838,1940919
Missouri,446.3,33171,6147861
Washington,445.1,37378,7666343
Indiana,443,34260,6718616
Vermont,442.4,3681,627180
Maryland,440.9,30942,6062917
South Carolina,440.9,27313,5147111
Idaho,439.2,8354,1790182
Michigan,436.8,53911,10020472
Florida,419.3,119408,21646155
Hawaii,414.2,7395,1416589
Virginia,413.3,40322,8571946
Alaska,405.8,2882,735720
Oregon,405.3,20596,4245901
Massachusetts,404.2,33626,6939373
Wyoming,402.3,2775,572381
Texas,391.8,109083,29087070
Utah,390.6,10494,3221610
Colorado,388.8,23244,5770545
California,385.6,164887,39747267
Nevada,385,13054,3087025
District of Columbia,378.3,2566,711571
Arizona,376.3,31443,7275070
New Mexico,359.4,9075,2096034
